title,sentence,score
신비한 동물들과 덤블도어의 비밀,다음편도 계속 나와주길,8
도어락,위기순간에 얼어붙는 주인공 모습 보면 고구마 백개,7
문폴,용돈 필요해서 자존심 버리고 만들었나?중국식 뻥구라 영화… 그 이상도 이하도 아님,1
박화영,박화영을 꼭 안아주고 토닥여주고 싶네요...,10
베놈 2: 렛 데어 비 카니지,베놈과 에디의 부부싸움 잘 봤습니다...,4
크게 될 놈,와  추천 대박 나이40에 펑펑울엇다 개감동 ㅠㅠ부모님께잘하자,10
세븐틴 파워 오브 러브 : 더 무비,감동 심해요..평셉 기강 잡힙니다..사랑해!!돈이 안 아까워요 당장 보러가세요.,10
더 배트맨,솔직히 배트맨 특유의 모습은 잘표현했는데 기존 히어로 영화가 액션씬이 좀 많고 밝은 분위기였다면 이 영화는 지금까지 히어로 영화중 굉장히 어두운편이고 액션도 막 화려하지 않고 현실적이라서 히어로 영화 기대하고 온 사람들한테는 실망이 클듯 딱 호불호가 갈리기 좋은영화 다크나이트처럼 빌런을 좀더 매력적으로 만들고 액션씬 추가해줬으면 좋았을듯 ,8
람보 : 라스트 워,역시 람보. 게릴라전의 프로,9
분노의 질주: 더 얼티메이트,아무생각없이 보기좋아요. 어이없어서 많이 웃었네요. 역시 킬링타임 굿,5
더 배트맨,느와르 장르의 매우 현실적인 히어로 영화. 러닝타임이 길지만 몰입감이 좋아서 시간이 빨리지나감,9
"나는 내일, 어제의 너와 만난다",また?える？また?えるよ,10
보안관,"생각보다 볼만한 영화. 스토리는 뻔하지만, 그래도 재미도 있는 영화",8
소공녀,전 위스키 담배를 여자보다 좋아하는데 공감이 안되네요 전 달에 세후 개같이 일해서 450정도 땡기지만 한푼이라도 아끼려고 어지간하면 집에서 혼자 소주 마시고 담뱃값 오른 그날부터 담배를 반으로 줄였습니다 그리고 그 글렌피딕12년 700ml를 7만원에 한병 사면요 애껴서애껴서 한달정도 마십니다 그래도 그게 수십잔인데 한잔에 만원이 넘는 싱글몰트 위스키를 바에서 마신다? 정신이 나간거지..,6
마녀,다른건 다 좋은데 조민수 캐스팅은 확실히 실수다,9
내가 처음으로 사랑한 소녀,클리셰 범벅이지만 재밌다 영화에서만이라도 퀴어들이 어떠한 고난과 역경없이 그냥 하하호호 행복했으면 좋겠다 이미 우리 삶은 충분히 힘드니까,10
서울괴담,옴니버스 장르 특성상 영화에 대한 몰입도가 많이 떨어지는건 어쩔수 없나봅니다 스토리라도 잘 짜던가 개연성도 없고 이건 감동도 없고 이도저도 아닌 영화,1
서치,몰입도가 굉장하고 연출을 잘했네요 초반 떡밥 회수까지 깔끔 완벽,10
역린,영화잘만들었어요!재밌어요,10
로스트 시티,제 점수는 10점입니다.,10
뜨거운 피,하나 하나가 다 명장면인데 단점은 하나 하나가 다 어디서 본 장면 같음. 볼만했음,7
악마를 보았다,"다시 봐도 재밌는 영화! 눈에는 눈, 이에는 이! 이 영화는 우리나라 교도소에 수감된 살인마들에게 꼭 보여줘야 할 영화라고 생각해요. 그리고 극중 몰입도가 정말 최고였어요. 이병헌과 최민식의 연기력, 정말 대단하단 말 밖엔 안 나오네요. 12년만에 다시 봤는데, 너무 재밌게 봤습니다. ",10
야차,좋은 재료를 갖고 클리셰로 떡칠해서 이렇게 망치다니...예상을 벗어난 장면이 없었음...분명 반전인데 다 예측 가능하고 왜 다음장면 까지 그려질까..,4
불도저에 탄 소녀,애미나이 고조 화끈하구만 기래 칼춤한번 추라이,8
랜드,오랜만에 영화를 집중해서 봤어요,10
서울괴담,개인적으로 장롱편은 진짜 무서웠음 ㅠㅠㅋㅋ,6
봄날,재밌게 잘봤어요. 돈이 아깝거나 그러진 않아요. 엄마기일 하루전이라 이 영화를 보고 싶었을 뿐. 이정도면 구성도 좋고 잘만들었다 생각되요. 역시 조폭세계는 발을 들여놓는 게 아님. ,8
서울괴담,스토리 너무 뻔하고 다 예상이감.. 진짜 너무 재미없었음 쓸데없이 브금만 웅장하고 효과음 떨칠해놈,1
니 부모 얼굴이 보고 싶다,보면서 계속 가슴이 아팠어요  연기 너무 좋고 영화자체도 정말 재밌어요 5년이 지나 개봉해서 배우감독님 모두 아쉬웠을거 같아요 진짜 재밌습니다 꼭 보세요,10
서울괴담,옴니버스라 지루하진 않았는데 무서운게 딱좋아 만화책 실사화 느낌이었다ㅋㅋ,10
지구가 멈추는 날,"흑인 애새끼 등장하는 장면마다 짜증 유발하네. 이 영화는 흑인 애새끼부터 죽여버리고 시작했어야 재밌는 영화가 될 뻔했다. 와 진짜 나오는 장면, 대화마다 사사건건 짜증을 유발하지 않는 장면이 없다. 별개로 외계인이 사용하는 연고는 나도 가지고 싶음. 무슨 만병통치약 같음.",6
더 컨트랙터,액션 스토리 연기 너무 좋았어요 재밌어요 영화느낌자체도 좋아요,10
카트,현실이라서 마음이 아픔,10
중경삼림,"실연, 그리고 새로운 만남",8
마녀,고민시가 영화살렸다 2탄은 고민시 위주로가자,10
우먼 인 골드,아직도 반환되지 않고 있는 약탈 문화들에 대한 환수를 기원하면서.,6
적과의 동침,킬링타임으로 좋아요옹,10
배틀쉽,영화 재밌고 잘만들었는데 일본관련 논쟁 때문에 국내에선 평점이 깍인듯. 평점조절함,10
서울괴담, 보다가 중간에 나오게 만드는 내용과 연기 아까운 내돈… 이건 영화가 아니다 황찬란의 선택은 틀렸다 다음엔 내가 보자는 영화를 볼 수 있길 바란다…,1
에놀라 홈즈,봐도봐도 질리지 않는 최고의 작품,10
야차,재밌음.킬링타임용.,10
오차즈케의 맛,부부관계는 오차즈케의 맛,8
리틀 포레스트,현실이 지치고 인간관계에 지친 상황에 힐링이 되는 영화였습니다,10
이상한 나라의 수학자,서울우유만 마시는 거 아니었나요?,7
로스트 시티,초중반까지는 이게 이평점받을 영화가아닌거같은데? 재밌는데? 싶었는데 가면갈수록 말그대로 재미가없어짐 ㅠ 코미디영화에서 코미디가 빠진느낌 ㅠ 채닝테이텀은 좋았음 ㅠ ㅋ,6
서울괴담,내 28000천원 공중으로 분해된 느낌이네요 유치원생들이 수다 떨면서 무서운이야기 하는게 더욱더 재미있을듯요 보느 내내 여자친구랑 수다만 떨었네요,1
뜨거운 피,뭔 담배를 저래많이 피냐 영화찍다 죽것다,6
패러렐 마더스,역사와 가족사를 아우르는 엄마들의 연대기,6
뜨거운 피,기대치 보다는 그 이상이더이다,8
생활의 발견,정말 재미있게 봤어요ㅐ,10
코만도,한심한 것들,2
데몰리션,파괴 폭파 폐허. 나는 그녀를 사랑하지 않았어요. 과연 그랬을까요.,10
코다,해피엔딩인데  눈물나는 영화 ,10
이터널스,감동지수 없음감상포인트 없음,1
스파이더맨: 노 웨이 홈,주인공이 민폐 캐릭이네,2
중경삼림,서사라기보단 한편의 뮤직비디오,7
약속,다시 보고싶은데 볼 수있는곳이 없어요 ㅠㅠ 보고싶다 공상두!,10
신비한 동물들과 덤블도어의 비밀,영화를 정말 잘못 만듬.,2
쿠폰의 여왕,"독특한 전개, 스토리인데 실화라서 더욱 놀라운 영화 ㅎ",8
카트,연기력 너무 좋은 배우들. 그리고 몰입감 최고...앞으로 이런일은 없었으면 좋겠어요.,10
신비한 동물들과 덤블도어의 비밀,난 재밌던데에 마법 최공,10
컨택트,크레딧이 올라가고 심오한 생각과 감정들을 이끌어냈다. 이 영화는 정말 잘 만든 영화이다. 앞으로도 종종 찾아올것같은 영화이다.인생의 시작의 끝을 알지만 그것을 포용하기로한다는 주인공의 멘트가 특히 기억에 남았다,10
스텔라,살면서 본 영화중 가장 재미없음.. ,2
로스트 시티,평타는 치는 영화입니다 채닝 테이넘 굳,6
서울괴담,스토리가 진짜 레전드 버릴 에피소드가 없을정도로 너무 좋았음 근데 갑툭튀가 좀 많아서 소리지르느라 주변 눈치만 오지게봄,10
